learner_id,response_time,errors,Mean_HR,HRV_SDNN,HRV_RMSSD,EEG_alpha,EEG_beta,self_report,cognitive_load_simple,cognitive_load
1,22.47240713084175,3,45.92984108193229,74.35985124229244,29.370104346200296,7.09368421262813,14.012820000167581,2,medium,medium
1,57.04285838459497,0,68.50781142435733,36.64983754351976,35.110685785779154,8.12613005897624,16.154997567718556,3,high,high
1,43.919636508684306,1,38.340258143195385,49.145811671669335,29.238696770561447,9.950088109445733,13.688800539919155,5,high,medium
1,35.919509051822196,2,51.02690516748587,69.41746122051703,35.56557617331872,6.792517813667473,18.671760604850753,1,medium,medium
1,9.361118426546192,0,52.47846281901825,61.041751565436755,31.956251711061324,5.6551767843325145,22.655520283717067,1,weak,medium
1,9.359671220172158,2,39.29679451348163,44.866033192239385,36.341201243093245,7.709730833957317,13.822161803746727,5,weak,weak
1,3.4850167300919677,1,56.86827495452839,52.06135379622604,42.02564452349316,5.273069967629076,16.439798432396838,1,weak,weak
1,51.97056874649611,3,46.01672987118372,49.97888320015176,41.71398276312476,7.445102981298049,16.195232472450336,4,high,high
1,36.06690070459253,1,25.076103484169327,42.519281956783324,45.30568376852867,7.438725041373086,15.416086278779776,1,medium,weak
1,42.48435466776273,4,56.59849612104565,49.25747892506918,41.70517517517728,3.072631752188874,16.959752836023874,7,high,high
1,1.2350696577481468,0,38.83059115897636,47.20033867193471,36.908460252334436,9.06127032748902,16.43646356693948,2,weak,weak
1,58.19459112971966,2,39.52225053860901,51.1274893807675,31.53254689887884,7.634620466637359,13.586839288845315,3,high,high
1,49.94655844802531,1,56.879020828923984,42.51616819308967,31.897912617470208,10.363792905543871,18.949637317868063,1,high,high
1,12.740346640696568,1,46.5283851758155,37.23381799755339,27.97778154851352,8.431063959588165,15.604998742460328,1,weak,weak
1,10.909498032426036,6,59.177721505515,49.58719226607629,35.03623432841246,9.471217140631097,13.84559874050891,7,weak,medium
1,11.00427059120603,2,62.10166095365319,67.1511821817878,40.57909982969548,10.380077506414086,22.329607571542205,6,weak,weak
1,18.254534577572265,1,43.55071539677702,50.822029262627964,29.194659176935836,7.736565834458507,14.6513598685332,2,weak,weak
1,31.485385897934272,2,57.93262495955031,46.684062210684544,34.70225713068981,7.998353622272196,15.764831524271248,6,medium,high
1,25.916701118526944,5,42.44539198607118,57.54085805038498,29.581102170225847,4.852913553219537,15.52632103374101,2,medium,high
1,17.473748411882514,1,72.33115917132176,48.41680387404622,36.674834641500915,10.479075490468482,14.610316167146376,1,weak,weak
2,36.71117368334277,3,43.070429954687846,68.6803292495911,30.604932928400398,7.708605200556891,16.345994115132047,4,medium,medium
2,8.36963163912251,1,60.26087440960004,49.96087490704922,29.08391542964758,5.988538899304037,12.465000272725124,1,weak,weak
2,17.52867891211309,1,58.43790025881576,57.004970631581635,29.5602664405438,9.479444972974855,16.78963015956917,4,weak,weak
2,21.9817105976215,0,53.16087822108934,42.45395617606727,39.026630190764536,3.6404376160714964,9.72493791482271,6,medium,weak
2,27.364199053022155,3,43.294568385833166,55.030892533366625,34.22600475735716,7.141451554253644,11.105790746228614,7,medium,medium
2,47.110557683580815,3,48.48602508058591,52.75093476943754,31.572626159999714,9.816622082423681,20.477173641505544,3,high,high
2,11.980426929501585,2,28.46411887055448,49.43493875340792,37.091236020377686,7.12455629606819,11.231459919834641,5,weak,weak
2,30.854066304816698,1,52.2442003838225,44.982422388302794,31.683870260258796,6.564156098102837,9.120123443889419,3,medium,medium
2,35.54487413172255,1,53.49615331028385,43.61969834347626,44.012143149485624,7.167690405774099,11.305751492801438,1,medium,medium
2,2.7870247631998635,2,51.33499419061371,52.823526639796526,27.20907077045395,3.9801414710628524,20.2201718075902,1,weak,high
2,36.4526911140863,0,20.266938287074424,56.289391096964735,33.504227897461746,9.430956863566067,9.624414779181855,4,medium,weak
2,10.231447421237492,0,37.34363554910189,48.72837203705868,23.761878226663995,7.754227916046174,12.132557452225347,2,weak,weak
2,3.903095579116771,2,42.519090171513376,52.87267929120792,32.22500486487925,7.455350780010476,10.62542254704904,6,weak,weak
2,56.93313223519999,2,52.916589331890464,49.6208532186723,21.56291601834696,7.462662767181918,14.177612408729974,6,high,high
2,57.93792198447356,2,52.89338905642985,50.98526024905388,40.97053218047301,8.028159596929168,13.69193730545779,6,high,high
2,48.50384088698767,0,48.29776208028821,47.99555017322775,41.132030136044634,9.306874741344133,13.5577304798189,4,high,medium
2,18.27682615040224,0,56.352455366039564,50.17972579368308,41.27336138979581,7.895872917601502,20.56840139821541,2,weak,medium
2,5.860326840383032,1,39.737576246971,76.98040456817427,35.230979841395744,5.276726903640375,11.402774047087355,2,weak,weak
2,41.053981590729414,2,56.10235005693996,53.11634298807425,27.961036762319264,9.151032243088133,14.693436660848667,7,high,high
2,26.409149624376077,0,54.74742104839891,56.45296958431043,28.597274943712403,8.997139382008452,16.0158037389622,2,medium,medium
3,7.3222940906867295,1,53.775547328379105,54.38023605328097,47.24137644176417,8.411053996432921,12.059372213783568,2,weak,weak
3,29.71061460667621,1,48.17959568914344,47.371831767029406,46.48541683039837,10.150482613922637,16.459769943739808,1,medium,medium
3,2.0633112669131037,3,68.30743824831262,62.93989213291668,35.98044125560617,8.060757352825918,13.800568516340077,5,weak,weak
3,54.559224124726924,0,54.93195688489879,47.08836229573659,30.87492772735738,10.222752177978512,16.122927198569567,6,high,high
3,15.526798896001015,0,40.31664136746441,60.55054548942552,45.94898738158808,10.814422042956792,14.67600224542304,5,weak,weak
3,39.75133706123892,1,52.483054757359845,46.65793001933551,29.44397470892152,9.164625771048964,8.848406323301088,3,medium,weak
3,18.702664565364657,2,57.524833770742184,40.40027480855959,36.830793664767256,6.504132756244125,18.918296138297222,3,weak,high
3,31.20408127066865,1,44.1189140107569,53.65396208236193,45.815658443187665,7.738428562995119,21.211374946062215,3,medium,medium
3,32.80261676059678,4,60.89272246931099,38.95331643897893,28.30929200268298,10.477712068116748,14.46973745419556,4,medium,high
3,11.091267331531622,2,53.82033705716011,55.35640225016609,41.633788685096896,5.004744267860986,12.306143844400188,3,weak,medium
3,58.175077665873516,0,26.575216623346527,38.058413439086834,39.16448636675096,7.216092663642782,19.518038163527066,6,high,high
3,46.50796940166687,1,52.99671977337926,46.80991969527147,34.68386766214751,7.314070327106512,20.671148708602413,7,high,high
3,56.36993649385135,3,45.93970845587285,35.682703034752585,27.052531206935075,6.269578799292533,14.493613765230007,3,high,high
3,53.68964102565893,2,55.37179814541736,78.24167009402728,29.204481919173794,9.745757899837573,14.343958154338456,3,high,high
3,35.87399872866511,1,59.44214840251814,33.46040440383686,37.31560858280527,8.753630142081555,14.760266706985503,7,medium,medium
3,55.31245410138701,0,51.95162047141818,50.098137403964046,23.61330564094891,6.5778832867990165,9.976353332264086,1,high,medium
3,5.309550123115169,0,66.65252233944696,61.433042743300135,36.045950872146,9.21102584047168,14.126622363920315,3,weak,weak
3,11.758971745148711,3,48.212931154365045,60.36385908587025,39.32840787249331,7.683167530663564,20.144825662647733,7,weak,medium
3,2.713637334632284,3,56.248178230538755,58.51342122173137,42.8817613824728,6.219610853555315,14.49393401768832,5,weak,weak
